code,CH4AR4_IPCMLULUCF_TOTAL_NET_HISTCR_PRIMAPHIST20
entity,CH4
category,IPCMLULUCF
name_category,LULUCF
type,NET
class,TOTAL
source,PRIMAPHIST20
descr,Data read in by JG. LJ; interpolation of NaN values by 'perform_interpolation_on_table'; interpolation of NaN values by 'perform_interpolation_on_table'; interpolation of NaN values by 'perform_interpolation_on_table'; interpolation of NaN values by 'perform_interpolation_on_table'; interpolation of NaN values by 'perform_interpolation_on_table'; interpolation of NaN values by 'perform_interpolation_on_table'; interpolation of NaN values by 'perform_interpolation_on_table'; interpolation of NaN values by 'perform_interpolation_on_table'; interpolation of NaN values by 'perform_interpolation_on_table' Extrapolated with growthrates from CH4_IPCMLULUCF_TOTAL_NET_HISTORY_RCPI | built by Johannes Guetschow
note,Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2018! | Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC1! | Add the countries {ZAF} from CH4_IPCMLULUCF_TOTAL_NET_HISTORY_BUR2IPCC2006I || Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC2! | Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC3! | Add the countries {ARG.BOL.BRA.CAF.CHL.COL.CRI.CUB.DOM.GEO.GHA.GTM.GUY.IDN.IND.KEN.KGZ.KOR.LBN.MDA.MDG.MEX.MKD.NER.PER.TGO.VCT.VNM} from CH4_IPCMLULUCF_TOTAL_NET_HISTORY_UNFCCC2018I || Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC4! | Add the countries {AFG.AGO.ALB.ARM.AZE.BDI.BEN.BFA.BGD.BHS.BIH.BLZ.BRN.BTN.BWA.CHN.CIV.CMR.COD.COG.COM.DZA.ECU.EGY.ERI.ETH.FJI.GAB.GIN.GMB.GNB.GNQ.GRD.HKG.HND.HTI.IRN.IRQ.ISR.JAM.KHM.LAO.LBR.LKA.LSO.MAR.MLI.MMR.MNE.MNG.MOZ.MRT.MUS.MWI.MYS.NAM.NGA.NIC.NPL.PAK.PAN.PHL.PNG.PRK.PRY.RWA.SDN.SEN.SGP.SLE.SLV.SOM.SRB.SUR.SWZ.SYR.TCA.TCD.THA.TJK.TKM.TLS.TTO.TUN.TWN.TZA.UGA.URY.UZB.VEN.VUT.WSM.ZMB.ZWE} from CH4_IPCMLULUCF_TOTAL_NET_HISTORY_FAO2018IPMH || Renamed as composite source from CH4_IPCMLULUCF_TOTAL_NET_PMHTHISTCR_TEMPSRC5! | Add the countries {LBY.LIE.LUX.MCO.SMR.VAT} from CH4_IPCMLULUCF_TOTAL_NET_HISTORY_EDGAR42COMPI ||  | built by Johannes Guetschow
scenario,HISTCR
datatype,CountryYearMatrix
tablekind,csg
family,emi
subsource,Table4; Table10s3; Summary1.As2
unit,MtCO2eq
gwp,AR4
iso3,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012,0.00012,0.00012,0.00012,0.00012,0.00012,0.0001175,7e-05,0.00019,5.25e-05,0.0004175,0.0001425,0,0,0,0,0.0005075,0,0.00055,0,0,0,0,9.5e-05,0.0001225,0.0001275,0.00010557
AGO,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.25755,0.2576,0.25771,0.25783,0.2579,0.25787,0.2577,0.25732,0.25669,0.25576,0.25446,0.25235,0.24919,0.24526,0.24082,0.23615,0.23154,0.22725,0.22355,0.22073,0.21907,0.21816,0.21743,0.21686,0.21644,0.21612,0.21591,0.21578,0.2157,0.21565,0.21563,0.21542,0.21487,0.21406,0.21304,0.21188,0.21063,0.20936,0.20814,0.20702,0.20607,0.2052,0.20429,0.20337,0.20247,0.2016,0.20079,0.20006,0.19943,0.19894,0.1986,0.19981,0.20362,0.20951,0.21695,0.22544,0.23446,0.24349,0.25201,0.25951,0.26547,0.27047,0.27539,0.28024,0.28502,0.28972,0.29433,0.29885,0.30328,0.30761,0.30676,0.29895,0.29112,0.28331,0.2755,0.2677,0.25985,0.25201,0.24426,0.23645,0.22866,0.22062,0.21287,0.20547,0.19741,0.18945,0.18072,0.17449,0.16778,0.15724,23.5025,23.5025,23.5025,23.5025,23.5025,23.5025,26.7192,24.5331,29.7576,27.3603,24.4905,16.8356,21.9066,22.4282,25.9132,26.3654,19.7426,23.8337,20.4619,21.0534,22.2334,29.4705,20.5084,24.3955,19.3036,22.7368,23.2057
ALB,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099679,0.0099697,0.0099739,0.0099784,0.0099812,0.0099802,0.0099735,0.009959,0.0099346,0.0098984,0.0098483,0.0097667,0.0096444,0.009492,0.0093202,0.0091397,0.008961,0.0087949,0.008652,0.0085429,0.0084783,0.0084432,0.0084151,0.0083931,0.0083765,0.0083645,0.0083563,0.008351,0.008348,0.0083463,0.0083453,0.0083371,0.0083161,0.0082846,0.0082451,0.0082001,0.0081518,0.0081028,0.0080555,0.0080122,0.0079754,0.0079417,0.0079066,0.007871,0.007836,0.0078023,0.0077708,0.0077426,0.0077185,0.0076994,0.0076863,0.0077332,0.0078806,0.0081083,0.0083965,0.008725,0.009074,0.0094234,0.0097533,0.010044,0.010274,0.010468,0.010658,0.010846,0.011031,0.011213,0.011391,0.011566,0.011738,0.011905,0.020176,0.0091098,0.0080454,0.015795,0.015919,0.014542,0.0077892,0.018477,0.019351,0.01341,0.016097,0.02791,0.010717,0.025406,0.011902,0.018777,0.013837,0.016399,0.018523,0.029586,0.015548,0.015548,0.015548,0.015548,0.015548,0.015548,0.0083575,0.01994,0.010153,0.00826,0.046163,0.0006475,0,0.0018575,0,0.00037,0.0007175,0.11889,0.002905,0.0001425,0.000145,0.0087775,0.06388,0.0001275,0,0.019595,0.022675
ANNEXI,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7692,13.7718,13.7775,13.7838,13.7876,13.7863,13.777,13.7569,13.7233,13.6733,13.604,13.4913,13.3223,13.1118,12.8746,12.6252,12.3784,12.1489,11.9515,11.8008,11.7116,11.6631,11.6243,11.5939,11.571,11.5544,11.543,11.5357,11.5315,11.5293,11.5278,11.5165,11.4875,11.444,11.3895,11.3273,11.2606,11.1929,11.1275,11.0678,11.0169,10.9703,10.9218,10.8727,10.8243,10.7777,10.7343,10.6953,10.662,10.6356,10.6175,10.6824,10.8859,11.2005,11.5985,12.0524,12.5345,13.0171,13.4728,13.8739,14.1927,14.4596,14.7229,14.9823,15.2378,15.4889,15.7354,15.9772,16.2138,16.4452,20.0434,17.1027,30.6303,15.0144,12.6335,13.372,25.248,21.9418,12.3436,24.3156,31.0594,31.2307,20.0164,18.8316,14.5091,22.8249,24.4898,22.5147,27.471,41.6871,52.5003,50.3408,47.1223,46.0753,52.5725,45.9412,51.2467,45.1104,53.2511,49.8771,56.0984,49.9871,58.3626,56.3466,54.6416,57.5936,59.7614,63.8248,56.8638,56.0944,49.2926,53.1231,57.7424,51.1344,52.9139,63.6392,64.9647
AOSIS,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0439,1.0441,1.0445,1.045,1.0453,1.0452,1.0445,1.0429,1.0404,1.0366,1.0313,1.0228,1.01,0.99403,0.97604,0.95713,0.93842,0.92103,0.90606,0.89464,0.88787,0.8842,0.88125,0.87895,0.87721,0.87595,0.87509,0.87454,0.87422,0.87405,0.87394,0.87308,0.87088,0.86759,0.86345,0.85873,0.85368,0.84855,0.84359,0.83906,0.83521,0.83167,0.828,0.82428,0.8206,0.81707,0.81378,0.81083,0.8083,0.8063,0.80492,0.80984,0.82527,0.84912,0.8793,0.91371,0.95025,0.98685,1.0214,1.0518,1.076,1.0962,1.1162,1.1358,1.1552,1.1742,1.1929,1.2112,1.2292,1.2467,1.4523,0.87309,2.1481,1.1271,1.0074,1.1685,1.7072,2.148,1.4824,2.0664,2.1065,1.6762,6.5246,2.8258,1.3636,1.4603,2.5052,4.3112,1.5099,1.5944,5.8595,5.8653,5.8712,5.877,5.8828,5.8508,2.8256,36.6209,3.7993,3.6331,3.3131,2.2335,6.8334,4.7712,11.9264,4.0386,5.9539,3.4057,5.2812,4.3267,4.2015,2.222,2.9703,3.9298,5.6965,4.202,3.6253
ARG,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2684,2.2688,2.2697,2.2708,2.2714,2.2712,2.2696,2.2663,2.2608,2.2526,2.2412,2.2226,2.1947,2.1601,2.121,2.0799,2.0392,2.0014,1.9689,1.9441,1.9294,1.9214,1.915,1.91,1.9062,1.9035,1.9016,1.9004,1.8997,1.8994,1.8991,1.8973,1.8925,1.8853,1.8763,1.8661,1.8551,1.8439,1.8332,1.8233,1.8149,1.8073,1.7993,1.7912,1.7832,1.7755,1.7684,1.762,1.7565,1.7521,1.7491,1.7598,1.7934,1.8452,1.9108,1.9855,2.0649,2.1445,2.2195,2.2856,2.3381,2.3821,2.4255,2.4682,2.5103,2.5517,2.5923,2.6321,2.6711,2.7092,3.8066,1.8687,2.8377,1.9379,2.284,2.9069,3.7374,2.2148,3.1837,3.4606,3.7374,3.0453,3.3221,3.3913,2.0072,2.3532,2.7684,3.945,2.7684,2.7684,0.61431,0.6282,0.6421,0.65599,0.66988,0.91904,1.1682,1.4174,1.1766,0.93577,0.69498,1.3718,2.0485,2.7253,3.4021,4.0789,4.7556,5.4324,6.1092,6.786,7.4627,6.5626,5.6625,3.9613,2.1256,4.1814,5.8607
ARM,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046184,0.00046193,0.00046212,0.00046233,0.00046246,0.00046241,0.0004621,0.00046143,0.0004603,0.00045862,0.0004563,0.00045252,0.00044685,0.00043979,0.00043183,0.00042347,0.00041519,0.00040749,0.00040087,0.00039582,0.00039283,0.0003912,0.0003899,0.00038888,0.00038811,0.00038755,0.00038717,0.00038693,0.00038679,0.00038671,0.00038666,0.00038628,0.00038531,0.00038385,0.00038202,0.00037993,0.0003777,0.00037543,0.00037324,0.00037123,0.00036953,0.00036796,0.00036634,0.00036469,0.00036306,0.0003615,0.00036005,0.00035874,0.00035762,0.00035674,0.00035613,0.0003583,0.00036513,0.00037568,0.00038903,0.00040426,0.00042043,0.00043662,0.0004519,0.00046535,0.00047605,0.000485,0.00049383,0.00050253,0.0005111,0.00051952,0.00052779,0.0005359,0.00054384,0.0005516,0.0007494,0.0004996,0.0022482,0.0007494,0.0002498,0.0002498,0.0007494,0.0004996,0.0002498,0.0002498,0.0002498,0.0004996,0.0004996,0.0002498,0.0004996,0.0007494,0.001249,0.001249,0.001249,0.001249,0.00021494,0.00021494,0.00024,0.00024,0.00024,0.00024,0.0001525,0.00016,0.0014625,0.0001575,0,9.25e-05,0,0.0001275,0.0001675,0.0002525,0.0009975,0,0.0002275,0,0.0001325,0.0003825,0,0.0002525,0,0.000225,0.00017743
AUS,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3079,3.3085,3.3099,3.3114,3.3123,3.312,3.3098,3.3049,3.2969,3.2848,3.2682,3.2411,3.2005,3.15,3.093,3.0331,2.9738,2.9186,2.8712,2.835,2.8136,2.8019,2.7926,2.7853,2.7798,2.7758,2.7731,2.7713,2.7703,2.7698,2.7694,2.7667,2.7597,2.7493,2.7362,2.7212,2.7052,2.689,2.6733,2.6589,2.6467,2.6355,2.6239,2.6121,2.6004,2.5892,2.5788,2.5694,2.5614,2.5551,2.5507,2.5663,2.6152,2.6908,2.7864,2.8955,3.0113,3.1272,3.2367,3.333,3.4096,3.4737,3.537,3.5993,3.6607,3.721,3.7803,3.8383,3.8952,3.9508,3.2928,2.305,4.9394,2.305,2.9636,3.9514,6.2564,6.2564,3.6221,6.2564,7.2443,2.9636,5.9272,3.6221,3.6221,7.2443,4.9394,2.9636,2.9636,3.2928,13.1015,12.1487,10.3357,9.7876,9.4425,9.7139,9.7695,10.2239,10.3102,10.9716,11.4134,11.2564,11.2977,11.2501,10.3697,11.0409,11.7222,11.8331,10.6538,10.4374,10.3219,9.8917,9.1505,9.3001,9.9556,9.009,9.8845
AUT,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021765,0.021769,0.021778,0.021788,0.021794,0.021792,0.021778,0.021746,0.021693,0.021614,0.021504,0.021326,0.021059,0.020726,0.020351,0.019957,0.019567,0.019204,0.018892,0.018654,0.018513,0.018436,0.018375,0.018327,0.018291,0.018264,0.018246,0.018235,0.018228,0.018225,0.018222,0.018204,0.018159,0.01809,0.018004,0.017905,0.0178,0.017693,0.01759,0.017495,0.017415,0.017341,0.017264,0.017187,0.01711,0.017037,0.016968,0.016906,0.016854,0.016812,0.016783,0.016886,0.017208,0.017705,0.018334,0.019051,0.019814,0.020576,0.021297,0.021931,0.022435,0.022857,0.023273,0.023683,0.024087,0.024484,0.024873,0.025255,0.02563,0.025995,0.044055,0.019891,0.017567,0.03449,0.03476,0.031753,0.017008,0.040346,0.042253,0.029282,0.035148,0.060942,0.023402,0.055476,0.025989,0.041001,0.030214,0.035807,0.040445,0.064602,0.024252,0.02391,0.024094,0.024047,0.023922,0.023861,0.023854,0.023833,0.024003,0.023805,0.023884,0.023843,0.024233,0.024213,0.023826,0.023859,0.023959,0.023873,0.023903,0.023917,0.023901,0.023889,0.023915,0.023997,0.023918,0.024109,0.023832
AZE,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047084,0.00047093,0.00047113,0.00047134,0.00047147,0.00047143,0.00047111,0.00047042,0.00046927,0.00046756,0.0004652,0.00046134,0.00045556,0.00044836,0.00044025,0.00043172,0.00042328,0.00041544,0.00040869,0.00040353,0.00040048,0.00039883,0.0003975,0.00039646,0.00039567,0.00039511,0.00039472,0.00039447,0.00039432,0.00039425,0.0003942,0.00039381,0.00039282,0.00039133,0.00038947,0.00038734,0.00038506,0.00038275,0.00038051,0.00037847,0.00037673,0.00037513,0.00037348,0.0003718,0.00037014,0.00036855,0.00036706,0.00036573,0.00036459,0.00036369,0.00036307,0.00036529,0.00037225,0.00038301,0.00039662,0.00041214,0.00042862,0.00044513,0.00046071,0.00047442,0.00048533,0.00049445,0.00050345,0.00051233,0.00052106,0.00052965,0.00053808,0.00054635,0.00055444,0.00056235,0.00076404,0.00050934,0.0022921,0.00076404,0.00025467,0.00025467,0.00076404,0.00050934,0.00025467,0.00025467,0.00025467,0.00050934,0.00050934,0.00025467,0.00050934,0.00076404,0.0012734,0.0012734,0.0012734,0.0012734,0.0022479,0.0022479,0.0026625,0.0026625,0.0026625,0.0026625,0.000985,0.001175,0.008935,0.00123,0.01582,0.003445,0.0017925,0.000305,0.0007825,0.000695,0.001455,0.0002625,0.00292,0,0.0060175,0.00078,0.000515,0,0.0044325,0.0017075,0.0019654
