cat,IPCMLULUCF
clss,TOTAL
ent,CO2
family,emi
gwp,AR4
note,emissions/removals
scen,HISTORY
srce,CRF2018
tablename,CO2_IPCMLULUCF_TOTAL_NET_HISTORY_CRF2018
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AUS,137.1574,114.0474,75.7373,54.5936,51.6915,38.8876,34.8466,37.7632,31.4909,44.0166,44.1686,58.1318,55.1772,55.9855,44.2545,65.9974,69.9634,64.6314,33.9469,20.1279,5.4215,-8.5089,-32.8933,-33.1221,-23.1365,-34.4661,-38.8881
AUT,-12.1499,-16.8545,-11.8355,-12.1365,-12.0117,-13.4305,-10.8102,-19.2869,-17.3822,-19.6559,-16.5224,-19.3596,-14.3235,-4.9456,-9.2728,-10.752,-5.2707,-5.6645,-4.4317,-4.7010000000000005,-6.0346,-6.2619,-5.6324,-4.6806,-4.8816,-4.6035,-4.3675
BEL,-2.4453,-2.4735,-2.4626,-2.4294,-2.4015,-2.3787,-2.1108,-2.3512,-2.3636,-2.2983,-1.9407,-1.8358,-3.3531,-3.2814,-3.193,-3.0608,-3.1188,-2.8424,-2.5943,-2.6913,-1.6402,-1.5065,-1.2141,-1.344,-1.3462,-1.3372,-1.3107
BGR,-15.0942,-14.713,-13.4742,-12.9695,-13.1708,-13.7542,-11.3539,-11.1168,-10.8668,-12.4123,-9.9008,-6.7997,-8.0699,-8.7489,-9.4866,-9.3345,-10.1262,-8.9916,-9.948,-9.197000000000001,-9.7032,-5.6817,-5.7643,-6.4654,-7.2106,-6.9638,-7.1727
BLR,-21.1267,-24.4322,-22.6911,-18.0865,-27.8705,-28.9578,-28.0559,-26.2037,-25.1583,-32.1233,-33.2705,-32.0964,-29.0277,-25.2146,-26.8546,-29.1642,-32.4307,-33.0903,-32.7401,-38.4717,-40.1476,-37.5974,-32.048,-35.1416,-30.1308,-27.5227,-21.9232
CAN,-69.6458,-76.0475,-68.3183,-61.838,-63.6168,-51.0454,-59.1929,-60.6647,-67.8373,-57.2621,-43.6835,-59.5326,-45.5536,-51.4454,-28.0079,-22.741999999999997,-30.7743,-32.9873,-38.3393,-50.4199,-33.2642,-33.6278,-37.0678,-34.6897,-34.701,-28.5654,-29.9878
CHE,-0.8184899999999999,-4.3019,-3.9132,-4.2621,-2.4897,-4.0368,-5.3731,-3.7221,-2.2784,-2.2165,4.6941,-0.9312600000000001,-2.6657,-2.3333,-3.0538,-2.6216,0.35636,-0.28754,-1.1842,-2.0976,-1.6076,-1.3867,-1.7258,-1.3366,-1.371,-1.4695,-1.9369999999999998
CYP,-0.26778,-0.26352,-0.27003,-0.28567,-0.26973,-0.28879,-0.29579,-0.26568,-0.19378,-0.36665,0.052295,-0.19508,-0.34109,-0.35409,-0.3486,-0.3767,-0.452,-0.21356,-0.50749,-0.5365300000000001,-0.48394,-0.55661,-0.5375,-0.57271,-0.57112,-0.56713,0.06687799999999999
CZE,-6.647,-9.6243,-10.45,-10.0967,-7.8562,-8.2743,-8.4235,-7.7593,-7.7232,-8.0772,-8.8238,-9.1436,-8.7759,-7.3309,-7.7235,-7.6268,-5.5432,-3.405,-6.4813,-7.8801,-6.1019,-7.2873,-7.1195,-6.4064,-6.3612,-6.5907,-5.3974
DEU,-33.0178,-30.5028,-31.0975,-30.9789,-34.239000000000004,-34.7406,-34.8206,-35.8429,-36.2122,-37.2807,-39.633,-40.2337,-5.8834,-7.8945,-10.9873,-13.6739,-14.0711,-13.5023,-20.4143,-19.6942,-18.0453,-17.4213,-16.1785,-15.9949,-16.6033,-16.097,-16.2041
DNK,4.7452,4.2732,5.2113,3.9783,3.4224,3.4360000000000004,2.8523,3.2763,3.2638,3.5561,3.4668,4.1533,5.1813,4.8443,4.5872,4.5279,4.9394,2.3168,-2.2445,2.0798,-0.87587,-2.4546,-0.22266,1.1245,0.19155,4.1314,5.3209
ESP,-40.0314,-39.1898,-36.5075,-35.6835,-36.6789,-37.1636,-37.7294,-38.7432,-39.5778,-42.2659,-43.7868,-43.7631,-43.5263,-42.0365,-41.5479,-42.1989,-45.2536,-40.781,-40.2068,-40.1041,-40.8444,-39.4277,-37.0172,-38.9388,-41.8691,-42.5126,-41.2006
EST,-1.5456,-1.5779,-1.0886,-2.0471,-1.4846,-1.8215,-1.8519,-2.1609,-2.8661,-2.9698,-3.3755,-1.6378,-2.2314,-2.6022,-2.6569,-2.8906,-2.7729,-3.1742,-2.8963,-2.8958,-2.0042,-2.1385,-2.0644,-1.5272,-1.6865,-2.2769,-2.7458
FIN,-16.8286,-29.307,-23.2683,-24.1566,-17.3318,-16.4099,-25.0678,-21.8893,-20.2855,-23.0518,-25.0502,-26.534000000000002,-27.0514,-27.5367,-28.851,-30.1956,-36.4419,-28.9023,-27.7651,-40.4283,-29.7899,-31.2013,-34.9071,-29.4554,-33.0542,-30.9449,-29.2469
FRA,-30.0664,-28.7724,-26.1862,-31.6146,-32.0959,-34.5558,-37.4357,-37.6704,-41.2209,-42.6046,-26.7247,-37.7493,-45.2201,-49.5695,-50.638000000000005,-52.2936,-55.4926,-53.8168,-52.3548,-47.8359,-41.9306,-38.4103,-44.8701,-46.3455,-46.6124,-45.077,-40.9168
GBR,-4.3953,-4.6959,-5.9276,-6.7845,-6.9848,-7.2033,-7.8007,-8.8706,-9.2262,-9.349,-9.9908,-10.9949,-11.418,-12.2969,-13.2637,-13.2274,-13.7562,-14.8721,-14.2158,-14.8648,-16.0536,-16.563,-14.2178,-15.0866,-15.9306,-16.5624,-16.0201
GRC,-2.1881,-2.3517,-2.4915,-2.9432,-2.676,-2.9267,-2.3315,-2.0133,-1.9347,-2.56,-2.1706,-2.4481,-2.7826,-2.5177,-2.4844,-3.3036,-3.3339,-1.8224,-3.0421,-3.0989999999999998,-3.0723,-3.1614,-3.1512,-1.6102,-0.15598,-3.718,-3.3575
HRV,-6.6536,-7.8789,-8.0718,-8.4569,-8.5733,-9.1055,-8.8079,-8.2826,-8.1808,-8.6049,-7.61,-7.98,-8.1681,-7.5291,-7.5544,-7.745,-7.528,-6.974,-7.2486,-7.2555,-7.114,-6.1225,-5.88,-6.3724,-6.3941,-5.4958,-5.5395
HUN,-2.5844,-1.9580000000000002,-2.6318,-5.0448,-5.8406,-5.5474,-1.8377,-2.1688,-3.4408,-1.2207,-0.50543,-2.0824,-1.463,-3.9705,-3.0474,-5.4523,-3.1758,-3.5326,-5.1385,-3.7158,-4.0779,-3.721,-4.4971,-3.4437,-4.942,-5.4332,-4.3285
IRL,5.7902,5.6614,5.4349,4.5557,5.0939,5.6265,5.5892,4.4215,4.4998,4.4342,5.6797,6.0934,6.4678,6.2886,4.6198,5.3511,6.3026,4.5824,3.6775,3.2023,4.1246,4.1691,4.9387,4.3873,4.5323,4.3326,4.2501
ISL,7.6645,7.6645,7.653,7.642,7.6399,7.6153,7.6153,7.6201,7.632999999999999,7.6519,7.6865,7.7082,7.7429,7.7512,7.7541,7.7702,7.8406,7.9112,7.9711,7.9924,7.9482,7.9367,7.9527,7.9589,7.9532,7.9314,7.9103
