ISO3,NDC_INDC,TYPE_MAIN,TYPE_RECLASS,COVERAGE_SECTORS_NDCS,COVERAGE_SECTORS_CALC,ECONOMY_WIDE,COVERAGE_GASES_NDCS,COVERAGE_GASES_CALC,EMI_POP_GDP,BASEYEAR,INTENSITY_PERCAP_GDP,TARGETS,DECLINE_AFTER_YEAR,ENERGY_NDCS,IPPU_NDCS,AGRICULTURE_NDCS,LULUCF_NDCS,WASTE_NDCS,OTHER_NDCS,ENERGY_CALC,IPPU_CALC,AGRICULTURE_CALC,LULUCF_CALC,WASTE_CALC,OTHER_CALC,CO2_NDCS,CH4_NDCS,N2O_NDCS,HFCS_NDCS,PFCS_NDCS,SF6_NDCS,NF3_NDCS,CO2_CALC,CH4_CALC,N2O_CALC,HFCS_CALC,PFCS_CALC,SF6_CALC,NF3_CALC,ABS,RBY,RBU,ABU,REI,AEI
ABW,,,,,,,,,,,,,,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,,,
AFG,NDC,RBU,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""Waste""], ""NAN"": [""LULUCF"", ""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""Waste"", ""Other""], ""NO"": [""LULUCF""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NAN"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""2005"": ""19.32742 MtCO2eq_SAR"", ""2020"": ""35.53302 MtCO2eq_SAR"", ""2025"": ""41.67295 MtCO2eq_SAR"", ""2030"": ""48.93954 MtCO2eq_SAR""}, ""inclLU"": {""2005"": ""28.75849 MtCO2eq_SAR"", ""2020"": ""46.48220 MtCO2eq_SAR"", ""2025"": ""53.18064 MtCO2eq_SAR"", ""2030"": ""61.03425 MtCO2eq_SAR""}, ""onlyLU"": {""2005"": ""9.34113 MtCO2eq_SAR"", ""2020"": ""10.94918 MtCO2eq_SAR"", ""2025"": ""11.50770 MtCO2eq_SAR"", ""2030"": ""12.09471 MtCO2eq_SAR""}}}",,nan,"{""ABS"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""40.3 MtCO2eq_SAR"", ""2030"": ""42.7 MtCO2eq_SAR""}}}, ""inclLU"": {""conditional"": {""best"": {""2025"": ""51.807700 MtCO2eq_SAR"", ""2030"": ""54.794710 MtCO2eq_SAR""}}}}, ""RBY"": NaN, ""RBU"":  {""exclLU"": {""conditional"": {""best"": {""2025"": ""-3.3%"", ""2030"":""-13.6%""}}}, ""inclLU"": {""conditional"": {""best"": {""2025"": ""-2.6%"", ""2030"":""-10.2%""}}}}, ""ABU"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""-1.372950 MtCO2eq_SAR"", ""2030"": ""-6.239540 MtCO2eq_SAR""}}}, ""inclLU"": {""conditional"": {""best"": {""2025"": ""-1.372940 MtCO2eq_SAR"", ""2030"": ""-6.239540 MtCO2eq_SAR""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,NAN,YES,NAN,YES,YES,YES,NO,YES,YES,YES,YES,YES,NAN,NAN,NAN,NAN,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""40.3 MtCO2eq_SAR"", ""2030"": ""42.7 MtCO2eq_SAR""}}}, ""inclLU"": {""conditional"": {""best"": {""2025"": ""51.807700 MtCO2eq_SAR"", ""2030"": ""54.794710 MtCO2eq_SAR""}}}}}",,"{""RBU"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""-3.3%"", ""2030"": ""-13.6%""}}}, ""inclLU"": {""conditional"": {""best"": {""2025"": ""-2.6%"", ""2030"": ""-10.2%""}}}}}","{""ABU"": {""exclLU"": {""conditional"": {""best"": {""2025"": ""-1.372950 MtCO2eq_SAR"", ""2030"": ""-6.239540 MtCO2eq_SAR""}}}, ""inclLU"": {""conditional"": {""best"": {""2025"": ""-1.372940 MtCO2eq_SAR"", ""2030"": ""-6.239540 MtCO2eq_SAR""}}}}}",,
AGO,NDC,RBU,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O""], ""NO"": [""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""2005"": ""66.812 MtCO2eq_AR4"", ""2020"": ""125.778 MtCO2eq_AR4"", ""2025"": ""155.819 MtCO2eq_AR4"", ""2030"": ""193.250 MtCO2eq_AR4""}}}",,nan,"{""ABS"":  {""inclLU"": {""unconditional"": {""best"": {""2025"": ""124.656 MtCO2eq_AR4"", ""2030"": ""125.612 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2025"": ""113.748 MtCO2eq_AR4"", ""2030"": ""96.625 MtCO2eq_AR4""}}}}, ""RBY"": NaN, ""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-20%"", ""2030"": ""-35%""}}, ""conditional"": {""best"": {""2025"": ""-27%"", ""2030"": ""-50%""}}}}, ""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-31.163 MtCO2eq_AR4"", ""2030"": ""-67.638 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2025"": ""-42.071 MtCO2eq_AR4"", ""2030"": ""-96.625 MtCO2eq_AR4""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""124.656 MtCO2eq_AR4"", ""2030"": ""125.612 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2025"": ""113.748 MtCO2eq_AR4"", ""2030"": ""96.625 MtCO2eq_AR4""}}}}}",,"{""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-20%"", ""2030"": ""-35%""}}, ""conditional"": {""best"": {""2025"": ""-27%"", ""2030"": ""-50%""}}}}}","{""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2025"": ""-31.163 MtCO2eq_AR4"", ""2030"": ""-67.638 MtCO2eq_AR4""}}, ""conditional"": {""best"": {""2025"": ""-42.071 MtCO2eq_AR4"", ""2030"": ""-96.625 MtCO2eq_AR4""}}}}}",,
AIA,,,,,,,,,,,,,,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,,,
ALB,NDC,RBU,ABS,"{""YES"": [""Energy"", ""IPPU""], ""NO"": [""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU""], ""NO"": [""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",nan,"{""YES"": [""CO2""], ""NO"": [""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2""], ""NO"": [""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""exclLU"": {""2009"": ""8.4 MtCO2eq_SAR"", ""2030"": ""6.157 MtCO2eq_SAR""}}}",,nan,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""5.449 MtCO2eq_SAR""}}}}, ""RBY"": NaN, ""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-11.5%""}}}}, ""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-0.708 MtCO2eq_SAR""}}}}, ""REI"": NaN, ""AEI"": {""exclLU"": {""unconditional"": {""best"": {""2050"": ""2 tCO2eq/cap""}}}}}",nan,YES,YES,NO,NO,NO,NAN,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""5.449 MtCO2eq_SAR""}}}}}",,"{""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-11.5%""}}}}}","{""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-0.708 MtCO2eq_SAR""}}}}}",,"{""AEI"": {""exclLU"": {""unconditional"": {""best"": {""2050"": ""2 tCO2eq/cap""}}}}}"
AND,NDC,RBU,ABS,"{""YES"": [""Energy"" , ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""IPPU"", ""Other""]}","{""YES"": [""Energy"" , ""Agriculture"", ""LULUCF"", ""Waste""], ""NO"": [""IPPU"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6""], ""NAN"": [""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS"", ""SF6""], ""NO"": [""NF3""]}","{""EMI"": {""exclLU"": {""2030"": ""0.53055 MtCO2eq_SAR""}}}",,nan,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""0.336820  MtCO2eq_SAR""}}}}, ""RBY"": NaN, ""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-37%""}}}}, ""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-0.19373 MtCO2eq_SAR""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,NAN,YES,YES,YES,NAN,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,NO,"{""ABS"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""0.336820  MtCO2eq_SAR""}}}}}",,"{""RBU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-37%""}}}}}","{""ABU"": {""exclLU"": {""unconditional"": {""best"": {""2030"": ""-0.19373 MtCO2eq_SAR""}}}}}",,
ANT,,,,,,,,,,,,,,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,,,,,
ARE,NDC,RBU,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""PFCS""], ""NAN"": [""HFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""PFCS""], ""NO"": [""HFCS"", ""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""2030"": ""310 MtCO2eq""}}}",,nan,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""237 MtCO2eq""}}}}, ""RBY"": NaN, ""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-23.5%""}}}}, ""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-71 MtCO2eq""}}}}, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,YES,NAN,NAN,YES,YES,YES,NO,YES,NO,NO,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""237 MtCO2eq""}}}}}",,"{""RBU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-23.5%""}}}}}","{""ABU"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""-71 MtCO2eq""}}}}}",,
ARG,NDC,ABS,ABS,"{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste""], ""NAN"": [""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""Agriculture"", ""LULUCF"", ""Waste"", ""Other""]}",Yes,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS""], ""NAN"": [""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS"", ""PFCS""], ""NO"": [""SF6"", ""NF3""]}","{""EMI"": {""inclLU"": {""2016"": ""364.44 MtCO2eq_SAR""}, ""onlyLU"": {""2016"": ""35.72 MtCO2eq_SAR""}, ""exclLU"": {""2016"": ""328.72 MtCO2eq_SAR""}}, ""POP"": {""2020"": ""45e6 Pers""}}",,nan,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""359 MtCO2eq_SAR""}}}}, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": NaN}",nan,YES,YES,YES,YES,YES,NAN,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NAN,NAN,YES,YES,YES,YES,YES,NO,NO,"{""ABS"": {""inclLU"": {""unconditional"": {""best"": {""2030"": ""359 MtCO2eq_SAR""}}}}}",,,,,
ARM,NDC,AEI,AEI,"{""YES"": [""Energy"", ""IPPU"", ""LULUCF"", ""Waste""], ""NAN"": [""Agriculture"", ""Other""]}","{""YES"": [""Energy"", ""IPPU"", ""LULUCF"", ""Waste""], ""NO"": [""Agriculture"", ""Other""]}",nan,"{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS""], ""NAN"": [""PFCS"", ""SF6"", ""NF3""]}","{""YES"": [""CO2"", ""CH4"", ""N2O"", ""HFCS""], ""NO"": [""PFCS"", ""SF6"", ""NF3""]}",nan,,POP,"{""ABS"": NaN, ""RBY"": NaN, ""RBU"": NaN, ""ABU"": NaN, ""REI"": NaN, ""AEI"": {""inclLU"": {""conditional"": {""best"": {""2025"": ""5.4 tCO2eq_SAR/capita"", ""2030"": ""5.4 tCO2eq_SAR/capita"", ""2050"": ""2.07 tCO2eq_SAR/capita""}}}}}",nan,YES,YES,NAN,YES,YES,NAN,YES,YES,NO,YES,YES,NO,YES,YES,YES,YES,NAN,NAN,NAN,YES,YES,YES,YES,NO,NO,NO,,,,,,"{""AEI"": {""inclLU"": {""conditional"": {""best"": {""2025"": ""5.4 tCO2eq_SAR/capita"", ""2030"": ""5.4 tCO2eq_SAR/capita"", ""2050"": ""2.07 tCO2eq_SAR/capita""}}}}}"
