iso3, Y1990, Y1991, Y1992, Y1993, Y1994, Y1995, Y1996, Y1997, Y1998, Y1999, Y2000, Y2001, Y2002, Y2003, Y2004, Y2005, Y2006, Y2007, Y2008, Y2009, Y2010, Y2011, Y2012, Y2013, Y2014, Y2015, Y2016, Y2017, Y2018, Y2019, Y2020, Y2021, Y2022, Y2023, Y2024, Y2025, Y2026, Y2027, Y2028, Y2029, Y2030
ABW, 1.7053, 1.749, 1.5329, 1.6681, 1.6907000000000003, 1.7488, 1.7642, 1.8211, 1.8756, 1.8881, 2.4681, 2.499, 2.5289, 2.6556, 2.7111, 2.8145, 2.8117, 2.9208, 2.7569, 2.7285, 2.6095, 2.6039, 1.4532, 0.96826, 0.9808600000000002, 1.0009, 1.0284, 1.025, 0.5894199999999999, 0.6177533333333334, 0.6481266666666666, 0.68135, 0.7174299999999999, 0.75618, 0.7974066666666667, 0.8409200000000001, 0.8872666666666666, 0.9368566666666668, 0.9891866666666664, 1.0437966666666665, 1.1002666666666667
AFG, 12.8281, 13.0307, 12.0476, 12.1969, 12.24, 12.8216, 13.9125, 14.8752, 15.6795, 16.5714, 14.8423, 13.286, 15.9498, 16.7076, 16.3504, 17.1656, 17.567, 18.3722, 21.7611, 24.884, 28.6984, 32.6811, 31.2559, 30.5344, 32.0983, 31.6482, 33.5513, 34.0195, 37.524, 37.7407, 38.1719, 38.1719, 38.1719, 38.1719, 38.1719, 38.1719, 38.1719, 38.1719, 38.1719, 38.1719, 38.1719
AGO, 72.2615, 74.4525, 76.7984, 76.156, 69.8744, 81.2641, 82.0381, 77.2704, 79.961, 75.8694, 70.5544, 71.7326, 76.1997, 76.6953, 86.2492, 87.1718, 84.6794, 90.1656, 89.1923, 91.0484, 97.0942, 99.5551, 100.8591, 97.0342, 97.0693, 100.353, 100.8752, 100.5013, 119.2719, 122.4175, 124.7216, 120.22556240990066, 115.23943553735891, 109.86514138335275, 104.18685295749229, 98.27390000000001, 91.07307849292121, 83.77072753287855, 76.29780498324048, 68.6235249992645, 60.75200000000001
AIA, 0.054377, 0.054476, 0.058155, 0.06931699999999999, 0.069626, 0.069793, 0.073539, 0.073516, 0.080897, 0.084593, 0.092123, 0.099456, 0.099554, 0.10699000000000003, 0.12612, 0.13360999999999998, 0.1484, 0.15575999999999998, 0.15572, 0.15202000000000002, 0.15581, 0.14856, 0.1486, 0.14167000000000002, 0.14915, 0.15231, 0.15669, 0.15602, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074, 0.15074
ALB, 6.7815, 8.0866, 5.7988, 5.8929, 6.4466, 6.3907, 6.4465, 6.5214, 7.3211, 7.7653, 7.0273, 7.4074, 7.7159, 8.0177, 8.3061, 8.11, 8.0436, 8.2718, 8.1844, 8.6573, 8.9149, 9.6455, 9.2906, 9.513, 10.3286, 9.8756, 10.174, 10.2403, 10.8035, 11.029000000000002, 11.2519, 11.34471795, 11.438813699999999, 11.5315458, 11.620674, 11.703965, 11.7823636, 11.85686055, 11.9260352, 11.988894499999999, 12.0440535
AND, 0.47714, 0.48598, 0.49545, 0.50605, 0.51027, 0.53838, 0.56996, 0.58065, 0.5948, 0.61322, 0.62583, 0.6261899999999999, 0.6332399999999999, 0.63672, 0.66355, 0.67923, 0.6481899999999999, 0.64369, 0.64212, 0.62003, 0.6241, 0.59558, 0.59006, 0.58323, 0.56972, 0.5702, 0.5774199999999999, 0.58098, 0.5786016666666667, 0.5786016666666667, 0.5786016666666667, 0.5546130273138066, 0.5306243879609465, 0.5066357486080862, 0.4826471092552261, 0.458658469902366, 0.4346698305495058, 0.41068119119664565, 0.3866925518437855, 0.3627039124909254, 0.3387152731380652
ANT, 5.6017, 4.5335, 3.7773, 5.7309, 5.5054, 5.4514, 5.1144, 5.3662, 0.5403899999999999, 2.3595, 5.8629, 5.9758, 5.7525, 5.7515, 6.0379, 5.994, 6.2328, 6.9968, 6.7378, 6.871, 4.7683, 6.0712, 7.2597, 6.4981, 7.1833, 7.3295, 7.5345, 7.4944, 7.216583333333332, 7.216583333333332, 7.216583333333332, 7.216583333333332, 7.216583333333332, 7.216583333333332, 7.216583333333332, 7.216583333333332, 7.216583333333332, 7.216583333333332, 7.216583333333332, 7.216583333333332, 7.216583333333332
ARE, 61.2097, 67.2973, 68.9758, 76.3247, 83.2046, 84.7661, 77.7487, 80.9749, 103.0591, 103.0369, 137.7742, 134.6088, 125.6334, 156.3638, 171.1557, 183.0349, 186.4729, 193.729, 212.261, 215.8088, 204.1377, 205.3739, 211.7397, 205.9782, 236.8704, 254.1235, 262.4122, 259.7016, 257.8048, 261.8257, 266.6386, 272.1705, 277.8681, 283.7629, 289.8826, 296.252, 302.828, 309.4951, 316.1679, 322.7608, 329.1887
ARG, 242.8383, 252.4021, 257.77, 261.462, 266.6969, 260.6655, 272.747, 274.4033, 278.8986, 280.945, 296.9296, 293.5946, 287.0193, 304.9927, 317.2126, 326.7034, 341.3797, 355.7947, 352.1372, 341.5865, 315.8042, 325.657, 327.4683, 337.4221, 339.2946, 342.361, 347.167, 348.1714, 334.9989, 342.1609, 349.3769, 347.174818872321, 344.6818857725017, 341.8644893515999, 338.690476189448, 335.1297983263046, 331.10171633690953, 326.5341743418679, 321.4148439415176, 315.7346562725853, 309.48791542015596
ARM, 25.9566, 24.3446, 28.934, 13.3996, 13.2646, 14.0969, 10.6776, 10.904000000000002, 9.4562, 7.4859, 6.072, 6.1206, 5.9108, 6.4129, 6.825, 7.6766, 8.0107, 8.826, 9.5409, 8.4695, 8.5031, 9.3504, 10.4292, 10.3439, 10.4658, 11.2202, 11.5894, 11.2487, 10.9283, 11.174, 11.4186, 12.498484124473224, 13.612281225061082, 14.763708334092962, 15.956500584355728, 17.19497530407086, 17.21916620603524, 17.234590734148505, 17.238014573988064, 17.22656664717541, 17.197603206353293
ATA, 0.011, 0.014667, 0.014667, 0.014667, 0.014667, 0.0036667, 0.0036667, 0.0036667, 0.0036667, 0.0036667, 0.0036667, 0.0036667, 0.0036667, 0.0036667, 0.0073334, 0.0073334, 0.0073334, 0.011, 0.005308, 0.005177, 0.0050461, 0.0049151, 0.0047842, 0.0046532, 0.0045223, 0.004391300000000001, 0.0042604, 0.0041294, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568, 0.0044568
