add_info,iso3,tar_type_used,tar_type_reclass,tar_type_main,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq
,AFG,ABS,ABS,RBU,conditional,best,40.3 MtCO2eq_SAR,51.807700 MtCO2eq_SAR,,,2025,2025,43.3744957885103,55.76012073107705,AR4,SSP5BLREMMP,37.0227,37.0227,12.38562494256675,12.38562494256675,,1.0,1.0,42230076.3789,42230076.3789,111987198671.2177,111987198671.2177,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AFG,ABS,ABS,RBU,conditional,best,42.7 MtCO2eq_SAR,54.794710 MtCO2eq_SAR,,,2030,2030,45.95759231189553,58.97501037537577,AR4,SSP5BLREMMP,41.9954,41.9954,13.017418063480234,13.017418063480234,,1.0,1.0,45682068.1672,45682068.1672,160895648972.893,160895648972.893,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AFG,ABU,ABS,RBU,conditional,best,-1.372950 MtCO2eq_SAR,-1.372940 MtCO2eq_SAR,,,2025,2025,43.37449578851031,55.76012073107704,AR4,SSP5BLREMMP,37.0227,37.0227,12.38562494256675,12.38562494256675,,1.0,1.0,42230076.3789,42230076.3789,111987198671.2177,111987198671.2177,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AFG,ABU,ABS,RBU,conditional,best,-6.239540 MtCO2eq_SAR,-6.239540 MtCO2eq_SAR,,,2030,2030,45.95759231189554,58.975010375375774,AR4,SSP5BLREMMP,41.9954,41.9954,13.017418063480234,13.017418063480234,,1.0,1.0,45682068.1672,45682068.1672,160895648972.893,160895648972.893,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AFG,RBU,ABS,RBU,conditional,best,-3.3%,-2.6%,,,2025,2025,35.8009509,48.12370849406001,AR4,SSP5BLREMMP,37.0227,37.0227,12.38562494256675,12.38562494256675,Yes (not lulucf),1.0,1.0,42230076.3789,42230076.3789,111987198671.2177,111987198671.2177,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AFG,RBU,ABS,RBU,conditional,best,-13.6%,-10.2%,,,2030,2030,36.2840256,49.40151062100525,AR4,SSP5BLREMMP,41.9954,41.9954,13.017418063480234,13.017418063480234,Yes (not lulucf),1.0,1.0,45682068.1672,45682068.1672,160895648972.893,160895648972.893,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,
,AGO,ABS,ABS,RBU,unconditional,best,,124.656 MtCO2eq_AR4,,,2025,2025,110.52620000000002,124.656,AR4,SSP5BLREMMP,141.6892,141.6892,14.129799999999989,14.129799999999989,,0.9981791131575308,0.9981791131575308,35444356.8306,35444356.8306,251770564534.9873,251770564534.9873,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,AGO,ABS,ABS,RBU,unconditional,best,,125.612 MtCO2eq_AR4,,,2030,2030,80.11599999999999,125.612,AR4,SSP5BLREMMP,147.754,147.754,45.49600000000001,45.49600000000001,,0.996815653044926,0.996815653044926,38821196.294,38821196.294,306923716095.6907,306923716095.6907,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
,AGO,ABS,ABS,RBU,conditional,best,,113.748 MtCO2eq_AR4,,,2025,2025,99.61820000000002,113.748,AR4,SSP5BLREMMP,141.6892,141.6892,14.129799999999989,14.129799999999989,,0.9981791131575308,0.9981791131575308,35444356.8306,35444356.8306,251770564534.9873,251770564534.9873,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,
