add_info,iso3,tar_type_used,tar_type_calc,tar_type_orig,condi,rge,ndc_value_exclLU,ndc_value_inclLU,ndc_strengthen_tar,int_ref,refyr,taryr,tar_emi_exclLU,tar_emi_inclLU,gwp,scenario,emi_bl_exclLU_refyr,emi_bl_exclLU_taryr,emi_bl_LU_refyr,emi_bl_LU_taryr,pc_cov_set_to_100,pc_cov_exclLU_refyr,pc_cov_exclLU_taryr,pop_refyr,pop_taryr,gdp_refyr,gdp_taryr,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,energy,ippu,agriculture,waste,other,lulucf,lulucf_tar_2030_fyson2019,emi_bl_onlyLU_refyr,emi_bl_onlyLU_taryr
,,,,,,,,,,,,,MtCO2eq,MtCO2eq,,,MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),MtCO2eq (AR4),,%,%,Pers,Pers,2011GKD,2011GKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MtCO2eq,,
,AFG,ABU,ABS,RBU,conditional,best,-1.372950 MtCO2eq_SAR,-1.372940 MtCO2eq_SAR,,,2025,2025,43.37449578851031,55.76012073107704,AR4,SSP1BLIMAGE,44.85218844341937,44.85218844341937,0.0,0.0,,1.0,1.0,42705370.4131,42705370.4131,110605023381.172,110605023381.172,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,12.38562494256675,12.38562494256675
,AFG,ABU,ABS,RBU,conditional,best,-6.239540 MtCO2eq_SAR,-6.239540 MtCO2eq_SAR,,,2030,2030,45.95759231189554,58.975010375375774,AR4,SSP1BLIMAGE,52.67314817919682,52.67314817919682,0.0,0.0,,0.999997453,0.999997453,46573700.5984,46573700.5984,154202034247.3272,154202034247.3272,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,13.017418063480234,13.017418063480234
,AFG,ABS,ABS,RBU,conditional,best,40.3 MtCO2eq_SAR,51.807700 MtCO2eq_SAR,,,2025,2025,43.3744957885103,55.76012073107705,AR4,SSP1BLIMAGE,44.85218844341937,44.85218844341937,0.0,0.0,,1.0,1.0,42705370.4131,42705370.4131,110605023381.172,110605023381.172,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,12.38562494256675,12.38562494256675
,AFG,ABS,ABS,RBU,conditional,best,42.7 MtCO2eq_SAR,54.794710 MtCO2eq_SAR,,,2030,2030,45.95759231189553,58.97501037537577,AR4,SSP1BLIMAGE,52.67314817919682,52.67314817919682,0.0,0.0,,0.999997453,0.999997453,46573700.5984,46573700.5984,154202034247.3272,154202034247.3272,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,13.017418063480234,13.017418063480234
,AFG,RBU,ABS,RBU,conditional,best,-3.3%,-2.6%,,,2025,2025,43.37206622478653,55.749630237950484,AR4,SSP1BLIMAGE,44.85218844341937,44.85218844341937,0.0,0.0,,1.0,1.0,42705370.4131,42705370.4131,110605023381.172,110605023381.172,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,12.38562494256675,12.38562494256675
,AFG,RBU,ABS,RBU,conditional,best,-13.6%,-10.2%,,,2030,2030,45.5096182723832,58.99014217009185,AR4,SSP1BLIMAGE,52.67314817919682,52.67314817919682,0.0,0.0,,0.999997453,0.999997453,46573700.5984,46573700.5984,154202034247.3272,154202034247.3272,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,,13.017418063480234,13.017418063480234
,AGO,ABU,ABS,RBU,unconditional,best,,-31.163 MtCO2eq_AR4,,,2025,2025,82.4602,124.65599999999999,AR4,SSP1BLIMAGE,113.6232,113.6232,106.13527142857141,106.13527142857141,,0.997455625,0.997455625,35348664.5688,35348664.5688,236785756857.0,236785756857.0,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,42.19579999999999,42.19579999999999
,AGO,ABU,ABS,RBU,unconditional,best,,-67.638 MtCO2eq_AR4,,,2030,2030,33.94029999999999,125.612,AR4,SSP1BLIMAGE,101.5783,101.5783,106.13527142857141,106.13527142857141,,0.995183026,0.995183026,38672284.8281,38672284.8281,270979138897.0576,270979138897.0576,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,91.6717,91.6717
,AGO,ABU,ABS,RBU,conditional,best,,-42.071 MtCO2eq_AR4,,,2025,2025,71.5522,113.74799999999999,AR4,SSP1BLIMAGE,113.6232,113.6232,106.13527142857141,106.13527142857141,,0.997455625,0.997455625,35348664.5688,35348664.5688,236785756857.0,236785756857.0,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,42.19579999999999,42.19579999999999
,AGO,ABU,ABS,RBU,conditional,best,,-96.625 MtCO2eq_AR4,,,2030,2030,4.953299999999999,96.625,AR4,SSP1BLIMAGE,101.5783,101.5783,106.13527142857141,106.13527142857141,,0.995183026,0.995183026,38672284.8281,38672284.8281,270979138897.0576,270979138897.0576,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,,91.6717,91.6717
