ISO3,CO2,CH4,N2O,HFCS,PFCS,SF6,NF3,IPC1,IPC2,IPCMAG,IPC4,IPC5,IPCMLULUCF,CO2_IPC1,CO2_IPC2,CO2_IPCMAG,CO2_IPC4,CO2_IPC5,CO2_IPCMLULUCF,CH4_IPC1,CH4_IPC2,CH4_IPCMAG,CH4_IPC4,CH4_IPC5,CH4_IPCMLULUCF,N2O_IPC1,N2O_IPC2,N2O_IPCMAG,N2O_IPC4,N2O_IPC5,N2O_IPCMLULUCF,HFCS_IPC2,PFCS_IPC2,SF6_IPC2,NF3_IPC2
ABW,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
AFG,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,YES,YES,YES,YES,YES,YES/NO,NO/YES,NO/YES,NO/YES,NO/YES
AGO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES,NO/YES
AIA,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
ALB,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,YES,YES/NO,YES/NO,YES/NO,YES/NO,NO/YES,NO/YES,NO,NO,NO,NO,NO/YES,NO/YES,NO,NO,NO,NO,NO/YES,NO/YES,NO/YES,NO/YES
AND,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES/NO,YES,YES,YES/NO,YES,YES,YES/NO,YES,YES,YES/NO,YES,YES,YES/NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES/NO,NO
ANT,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
ARE,YES,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,YES,NO/YES,NO/YES
ARG,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES
ARM,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,NO,YES,YES,YES,YES/NO,YES,YES/NO,YES,YES,YES,YES/NO,YES,YES/NO,YES,YES,YES,YES/NO,YES,YES/NO,YES,YES,NO/YES,NO/YES,NO/YES
ATA,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
ATG,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO/YES,NO/YES,NO/YES
AUS,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
AUT,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
AZE,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
BDI,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,YES,YES/NO,YES,YES/NO,YES/NO,YES,NO,NO,NO,NO
BEL,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
