cat,IPCMLULUCF
clss,TOTAL
ent,KYOTOGHG
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scen,HISTORY
srce,BUR1IPCC2006I
tablename,KYOTOGHG_IPCMLULUCF_TOTAL_NET_HISTORY_BUR1IPCC2006I
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
IDN,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,505.369,380.129,674.943,461.035,707.87,698.525,989.956,616.562,595.4680000000001,920.5010000000001,434.788,616.335,694.9780000000001,nan,nan,nan
MNG,-23.0242,-22.9507,-22.991999999999997,-23.0994,-23.2128,-23.3642,-23.5969,-23.7622,-24.4074,-25.3288,-25.1884,-25.829,-25.8844,-25.5474,-25.6397,-25.6581,-24.7502,-24.7576,-24.7161,-24.9509,-24.6709,-24.6363,-24.377,-24.5477,-24.4519,nan
MRT,-0.54003,-0.55715,-0.58187,-0.17256,-0.47557,-0.63365,-0.71665,-0.90241,-0.40354,-0.28088,-0.75374,-0.41803,-0.41293,-0.19983,-0.40065,-0.3127,-0.37418,-0.41696000000000005,-0.38587,-0.37142,-0.32676,-0.42155,-0.24311999999999998,nan,nan,nan
TGO,nan,nan,nan,nan,nan,10.8481,12.7119,13.1341,13.5481,13.9591,14.3755,14.7933,15.5421,15.6261,16.0441,16.4535,16.8737,17.29,17.7063,18.1226,18.5389,17.1461,17.0474,17.102,17.2162,17.4743
